City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
abonnema,4.7084,6.7931,80.73,81,32,6.89,NG,1613087708
remedios,22.4947,-79.5458,78.8,69,40,13.8,CU,1613087709
butaritari,3.0707,172.7902,81.99,76,59,13.87,KI,1613087532
cape town,-33.9258,18.4232,72.0,94,20,10.36,ZA,1613087712
port-gentil,-0.7193,8.7815,82.4,89,40,8.05,GA,1613087713
ribeira grande,38.5167,-28.7,61.47,80,99,38.03,PT,1613087548
pemangkat,1.1667,108.9667,77.18,89,100,9.13,ID,1613087716
mehamn,71.0357,27.8492,22.24,92,78,10.94,NO,1613087630
pajapan,18.25,-94.7,93.2,40,1,6.91,MX,1613087718
